claim_id,n,p_q,h_q,claim,label,truth
1127,24,1.0,3.8918202981106256,"This means it is possible that by some yardsticks, 2016 will be declared as hot as 2015 or even slightly hotter – because El Nino did not vanish until the middle of the year.",SUPPORTS,TRUE
1163,24,1.0,3.8918202981106256,"“Global warming and climate change, even if it is 100% caused by humans, is so slow that it cannot be observed by anyone in their lifetime.",REFUTES,FALSE
1167,24,0.0,-3.8918202981106265,Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past.,REFUTES,FALSE
1186,24,0.375,-0.4895482253187058,President Hilda Heine has told reporters that longtime residents are leaving the Marshall Islands because climate change is threatening the nation’s existence.”,SUPPORTS,TRUE
1205,24,0.0,-3.8918202981106265,"“In 2009, then-British Prime Minister Gordon Brown predicted that the world had only 50 days to save the planet from global warming.",SUPPORTS,TRUE
1212,24,1.0,3.8918202981106256,"(In technical lingo, the so-called social cost of carbon would be negative.)”",REFUTES,FALSE
1239,24,0.0,-3.8918202981106265,"Through decades of research, it has become clear that human civilization, roughly 6,000 years old, developed during an unusually stable period for global sea levels.",SUPPORTS,TRUE
1260,24,1.0,3.8918202981106256,"The contrast in precipitation between wet and dry regions and between wet and dry seasons will increase, although there may be regional exceptions.",SUPPORTS,TRUE
1308,24,1.0,3.8918202981106256,Great Barrier Reef may perish by 2030s,SUPPORTS,TRUE
1315,24,1.0,3.8918202981106256,cold kills many more people than heat.,REFUTES,FALSE
1324,24,1.0,3.8918202981106256,cold deaths actually occur during moderate temperatures,REFUTES,FALSE
1334,24,1.0,3.8918202981106256,We simply could never release enough CO2 into the atmosphere to cause the pH to go below 7 [the point in the pH scale at which a solution becomes acidic].”,REFUTES,FALSE
1347,24,0.9583333333333334,2.751535313041948,"Scientists say the recent climate agreement negotiated in Paris is not remotely ambitious enough to forestall a significant melting of Greenland and Antarctica, though if fully implemented, it may slow the pace somewhat.”",SUPPORTS,TRUE
1351,24,0.0,-3.8918202981106265,"a marginally significant warming trend in the data over the past several years, erasing the temperature plateau that vexed climate alarmists have found difficult to explain.",SUPPORTS,TRUE
1420,24,0.375,-0.4895482253187058,"Concentrated in the atmosphere, these gases do not allow the warmth of the sun’s rays reflected by the earth to be dispersed in space.",SUPPORTS,TRUE
1447,24,1.0,3.8918202981106256,"Flights departing airports in the United States and its territories emitted about one-quarter (24%) of global passenger transport-related CO2, two-thirds of which came from domestic flights.",SUPPORTS,TRUE
1488,24,1.0,3.8918202981106256,New Study Confirms EVs Considerably Worse For Climate Than Diesel Cars.,REFUTES,FALSE
1508,24,1.0,3.8918202981106256,global warming ceased around the end of the twentieth century and was followed (since 1997) by 19 years of stable temperature.,REFUTES,FALSE
1529,24,1.0,3.8918202981106256,"Human activities (mainly greenhouse-gas emissions) are the dominant cause of the rapid warming since the middle 1900s (IPCC, 2013).",SUPPORTS,TRUE
1546,24,1.0,3.8918202981106256,Human CO2 is a tiny fraction of CO2 emissions.,REFUTES,FALSE
1548,24,0.5,0.0,Polar bear numbers are increasing.,REFUTES,FALSE
1569,24,1.0,3.8918202981106256,Sea level rise is decelerating.,REFUTES,FALSE
1592,24,1.0,3.8918202981106256,97% consensus on human-caused global warming has been disproven.,REFUTES,FALSE
1609,24,1.0,3.8918202981106256,Greenland has only lost a tiny fraction of its ice mass.,REFUTES,FALSE
1615,24,1.0,3.8918202981106256,Climate change isn't increasing extreme weather damage costs.,REFUTES,FALSE
1625,24,1.0,3.8918202981106256,Global warming is increasing the risk of heatwaves.,SUPPORTS,TRUE
1643,24,0.0,-3.8918202981106265,"Al Gore's book is quite accurate, and far more accurate than contrarian books.",SUPPORTS,TRUE
1647,24,1.0,3.8918202981106256,Extreme weather events are being made more frequent and worse by global warming.,SUPPORTS,TRUE
1678,24,1.0,3.8918202981106256,No known natural forcing fits the fingerprints of observed warming except anthropogenic greenhouse gases.,SUPPORTS,TRUE
1684,24,1.0,3.8918202981106256,The 2nd law of thermodynamics is consistent with the greenhouse effect which is directly observed.,SUPPORTS,TRUE
1715,24,1.0,3.8918202981106256,"Theory, models and direct measurement confirm CO2 is currently the main driver of climate change.",SUPPORTS,TRUE
1753,24,0.0,-3.8918202981106265,"Trenberth is talking about the details of energy flow, not whether global warming is happening.",REFUTES,FALSE
1776,24,0.0,-3.8918202981106265,"If anyone claims to be part of the 97 percent, it means they disagree with the contrarian argument that humans are having a minimal impact on global warming.",SUPPORTS,TRUE
1802,24,0.0,-3.8918202981106265,The temporary drop in sea level in 2010 was due to intense land flooding caused by a strong La Nina.,SUPPORTS,TRUE
1831,24,1.0,3.8918202981106256,"(Koch Industries) is among the worst in toxic air pollution in the entire United States ... and churns out more climate-changing greenhouse gases than oil giants Chevron, Shell and Valero.",REFUTES,FALSE
1871,24,0.0,-3.8918202981106265,"Donald Trump ""thinks that climate change is a hoax, invented by the Chinese.""",SUPPORTS,TRUE
1921,24,1.0,3.8918202981106256,"Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""",REFUTES,FALSE
1946,24,1.0,3.8918202981106256,"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",REFUTES,FALSE
1951,24,1.0,3.8918202981106256,"Scientists are ""questioning the original idea that man-made global warming is what is causing the climate to change. """,REFUTES,FALSE
1952,24,1.0,3.8918202981106256,Scientists project that the Arctic will be ice-free in the summer of 2013.,REFUTES,FALSE
1981,24,1.0,3.8918202981106256,The EPA director under Obama said the Clean Power Initiative would have no effect on man-made CO2 emissions.,REFUTES,FALSE
1999,24,1.0,3.8918202981106256,there is no relationship between temperature and carbon dioxide emissions by Â­humans[...],REFUTES,FALSE
2054,24,1.0,3.8918202981106256,During the period 1940 to 1976 there was a cooling of the climate despite increasing CO2 levels.,REFUTES,FALSE
2070,24,1.0,3.8918202981106256,"When life is considered, ocean acidification is often found to be a non-problem, or even a benefit.",REFUTES,FALSE
2081,24,1.0,3.8918202981106256,Heat waves have been decreasing since the 1930s in the U.S. and globally.,REFUTES,FALSE
2117,24,1.0,3.8918202981106256,"Global sea level data shows that sea level rise has been increasing since 1880 while future sea level rise predictions are based on  physics, not statistics.",SUPPORTS,TRUE
2128,24,1.0,3.8918202981106256,Less than half of published scientists endorse global warming,REFUTES,FALSE
2136,24,1.0,3.8918202981106256,Renewables can't provide baseload power,REFUTES,FALSE
2170,24,1.0,3.8918202981106256,Climate change isn't increasing extreme weather damage costs,REFUTES,FALSE
2187,24,1.0,3.8918202981106256,"Scientific analysis of past climates shows that greenhouse gasses, principally CO2, have controlled most ancient climate changes.",SUPPORTS,TRUE
2199,24,1.0,3.8918202981106256,"The consequences of climate change become increasingly bad after each additional degree of warming, with the consequences of 2°C being quite damaging and the consequences of 4°C being potentially catastrophic.",SUPPORTS,TRUE
2201,24,1.0,3.8918202981106256,That humans are causing global warming is the position of the Academies of Science from 80 countries plus many scientific organizations that study climate science.,SUPPORTS,TRUE
2222,24,1.0,3.8918202981106256,A large number of ancient mass extinction events have been strongly linked to global climate change.,SUPPORTS,TRUE
2247,24,1.0,3.8918202981106256,"His best estimate is that the  warming in response to a doubling of CO2 concentration, which may happen  this century unless the usual suspects get away with shutting down the  economies of the West, will be a harmless 1 Fahrenheit degree, not the 6  F predicted by the IPCC.""",REFUTES,FALSE
2250,24,0.0,-3.8918202981106265,"Some global warming 'skeptics' argue that the Earth's climate sensitivity is so low that a doubling of atmospheric CO2 will result in a surface temperature change on the order of 1°C or less, and that therefore global warming is nothing to worry about.",REFUTES,FALSE
2257,24,1.0,3.8918202981106256,'Our harmless emissions of trifling quantities of carbon dioxide cannot possibly acidify the oceans.,REFUTES,FALSE
2262,24,1.0,3.8918202981106256,"Since the hockey stick paper in 1998, there have been a number of proxy studies analysing a variety of different sources including corals, stalagmites, tree rings, boreholes and ice cores.",SUPPORTS,TRUE
2275,24,1.0,3.8918202981106256,[…] Constant 24-7  media coverage of every significant storm worldwide just makes it seem  that way.”,SUPPORTS,TRUE
2276,24,1.0,3.8918202981106256,It is unclear whether global warming is increasing hurricane frequency but there is increasing evidence that warming increases hurricane intensity.,SUPPORTS,TRUE
2305,24,0.9583333333333334,2.751535313041948,"Nevertheless over the last decade, daily record high temperatures occurred twice as often as record lows.",REFUTES,FALSE
2330,24,1.0,3.8918202981106256,Arctic sea ice has been retreating over the past 30 years.,SUPPORTS,TRUE
2370,24,1.0,3.8918202981106256,"If there is  a cloud cover, the heat is trapped by water vapour as a greenhouse gas  and the temperature stays quite warm.",REFUTES,FALSE
2438,24,1.0,3.8918202981106256,Greenhouse gases have been the main contributor of warming since 1970.,SUPPORTS,TRUE
2508,24,1.0,3.8918202981106256,"""The Pacific Decadal Oscillation (PDO) is a temperature pattern in the Pacific Ocean that spends roughly 20-30 years in the cool phase or the warm phase.",SUPPORTS,TRUE
2560,24,1.0,3.8918202981106256,"In the 11,400 years since the end of the last Ice Age, sea  level has risen at an average of 4 feet/century, though it is now rising  much more slowly because very nearly all of the land-based ice that is  at low enough latitudes and altitudes to melt has long since gone.""",REFUTES,FALSE
2564,24,0.0,-3.8918202981106265,This small warming is  likely a result of the natural alterations in global ocean currents  which are driven by ocean salinity variations.,SUPPORTS,TRUE
2579,24,1.0,3.8918202981106256,"Over the past 250 years, humans have added just one part of CO2 in 10,000 to the atmosphere.",REFUTES,FALSE
2592,24,1.0,3.8918202981106256,"""A July 6, 2007 study published in the journal Science about Greenland by an international team of scientists found DNA “evidence that suggests the frozen shield covering the immense island survived the Earth’s last period of global warming,” according to a Boston Globe Article.  ...",REFUTES,FALSE
2614,24,1.0,3.8918202981106256,"""The Keeling curve, which is widely used to show the increase in CO2 emissions, is based on data from the top of Mount Mauna Loa in Hawaii.",SUPPORTS,TRUE
2650,24,0.0,-3.8918202981106265,The decline in tree-ring growth is openly discussed in papers and IPCC reports.,SUPPORTS,TRUE
2711,24,1.0,3.8918202981106256,"'Antarctic sea ice set a new record in October 2007, as photographs distributed by the National Oceanic and Atmospheric Administration showed penguins and other cold-weather creatures able to stand farther north on Southern Hemisphere sea ice than has ever been recorded.",REFUTES,FALSE
2753,24,0.0,-3.8918202981106265,"However, studies have determined that current technology is sufficient to reduce greenhouse gas emissions the necessary amount, and that we can do so without significant impact on the economy.",SUPPORTS,TRUE
2876,24,0.125,-1.8152899666382492,Science entitled The Scientific Consensus on Climate Change (Oreskes 2004).,SUPPORTS,TRUE
2895,24,1.0,3.8918202981106256,"The latest  measurements involve the use of satellite gravimetry, estimating  the mass of terrain beneath by detecting slight changes in gravity as a  satellite passes overhead.",SUPPORTS,TRUE
2935,24,1.0,3.8918202981106256,"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".",REFUTES,FALSE
2959,24,0.9166666666666666,2.1972245773362196,"Even if the warming were as big as the IPCC imagines, it would not be as dangerous as Mr. Brown suggests.",REFUTES,FALSE
2961,24,1.0,3.8918202981106256,Cooks ’97% consensus’ disproven by a new peer,REFUTES,FALSE
2966,24,1.0,3.8918202981106256,"Over the three years from 1979 to 1982 when CO2 emissions were decreasing due to the rapid increase in the price of oil that drastically reduced consumption, there was no change in the rate of increase in atmospheric concentration of CO2 proving that humans were not the primary source for the increase in concentration.'",REFUTES,FALSE
2989,24,0.0,-3.8918202981106265,"While preventing global warming is relatively cheap, economists can't even accurately estimate the accelerating costs of climate damages if we continue with business-as-usual.",REFUTES,FALSE
3079,24,0.5416666666666666,0.16034265007517948,"This was the case last year too, while earlier  years in the DMI analysis period (1958-2010) hardly ever shows Arctic  melt season temperatures this cold (Frank Lansner)",REFUTES,FALSE
3130,24,0.5,0.0,"""There are other possible causes for climate change which could be associated with solar activity or related to variations in the temperature of the liquid core of the Earth, which is about 5,400 degrees Celsius.",SUPPORTS,TRUE
